,"('spectral_bandwidth', 'kurtosis', '01')","('spectral_bandwidth', 'max', '01')","('spectral_bandwidth', 'mean', '01')","('spectral_bandwidth', 'median', '01')","('spectral_bandwidth', 'min', '01')","('spectral_bandwidth', 'skew', '01')","('spectral_bandwidth', 'std', '01')","('spectral_centroid', 'kurtosis', '01')","('spectral_centroid', 'max', '01')","('spectral_centroid', 'mean', '01')","('spectral_centroid', 'median', '01')","('spectral_centroid', 'min', '01')","('spectral_centroid', 'skew', '01')","('spectral_centroid', 'std', '01')","('spectral_rolloff', 'kurtosis', '01')","('spectral_rolloff', 'max', '01')","('spectral_rolloff', 'mean', '01')","('spectral_rolloff', 'median', '01')","('spectral_rolloff', 'min', '01')","('spectral_rolloff', 'skew', '01')","('spectral_rolloff', 'std', '01')","('zcr', 'kurtosis', '01')","('zcr', 'max', '01')","('zcr', 'mean', '01')","('zcr', 'median', '01')","('zcr', 'min', '01')","('zcr', 'skew', '01')","('zcr', 'std', '01')","('rmse', 'kurtosis', '01')","('rmse', 'max', '01')","('rmse', 'mean', '01')","('rmse', 'median', '01')","('rmse', 'min', '01')","('rmse', 'skew', '01')","('rmse', 'std', '01')",genre_top
0,-0.045836236328,3462.6638184,1488.157959,1483.0360107,812.94958496,0.24586601555,229.395401,17.870185852,4880.1069336,1292.19104,1288.6497803,647.84899902,2.0559802055,256.3782959,3.3804588318,9270.0439453,2179.0285645,2045.6542969,1001.2939453,1.4204171896,665.0769043,49.760101318,0.396484375,0.070175774395,0.0693359375,0.01953125,3.7569105625,0.02060803771,2.4486274719,9.6007242203,2.747123003,2.5488348007,0.00018135877326,1.1160476208,1.1440606117,4
1,1.4317978621,3575.671875,1146.102417,1099.09375,0.0,0.58957344294,690.83227539,18.045148849,5525.628418,777.56451416,675.17749023,0.0,3.5200195312,728.00537109,9.678445816,9614.5751953,1472.0720215,1173.5595703,0.0,2.792427063,1533.2429199,10.444101334,0.1787109375,0.026508700103,0.02490234375,0.0,2.2633364201,0.021209478378,-1.0376210213,13.785819054,6.5199141502,7.4985666275,0.0,-0.44490924478,4.0491809845,5
2,7.768345356,3632.4333496,697.76037598,714.90673828,0.0,0.45421907306,175.03593445,26.856973648,5594.2431641,459.21981812,461.00518799,0.0,1.4105536938,200.89619446,6.0410933495,9474.609375,1007.0025635,1055.1269531,0.0,0.39144259691,493.97290039,8.5273866653,0.1337890625,0.011065751314,0.0078125,0.0,2.1199200153,0.012555867434,-0.28747558594,28.733858109,8.6572198868,8.4115123749,0.0,0.16871497035,3.2884595394,2
3,2.1115481853,3182.671875,2211.1652832,2129.7683105,1644.0579834,1.6230709553,280.30941772,3.1442785263,4555.871582,1529.9511719,1370.2935791,716.31964111,1.7685002089,482.05502319,1.8414880037,8128.7841797,3617.3220215,3273.046875,1238.1591797,1.5067205429,1175.3952637,30.836931229,0.30859375,0.021487746388,0.01708984375,0.00244140625,3.6352524757,0.017537204549,3.5331101418,8.6110706329,5.4758563042,5.8701734543,0.0094908922911,-2.0318968296,1.4015760422,2
4,1.8141189814,3304.9780273,1270.3289795,1268.1589355,696.86639404,0.65198707581,222.47428894,8.4368753433,5573.1669922,1187.3232422,1215.578125,388.47006226,1.3845888376,372.32363892,2.284676075,9420.7763672,2177.0776367,2207.1533203,462.96386719,0.75748425722,718.81695557,23.191083908,0.42529296875,0.053247120231,0.0478515625,0.0078125,2.7740650177,0.03021815978,-0.15652108192,19.972454071,8.8955163956,9.3239164352,2.6721016184e-05,-0.39941030741,3.6004345417,7
5,0.039333771914,3548.90625,1434.9681396,1422.1824951,0.0,0.29462689161,433.28817749,1.5377351046,5641.7929688,1035.0919189,836.1506958,0.0,1.2094503641,665.53753662,-0.44909784198,9625.3417969,2079.0473633,1765.7226562,0.0,0.58229243755,1475.9279785,8.5535488129,0.41748046875,0.04142106697,0.02685546875,0.0,2.6777598858,0.045098397881,2.3838272095,16.056869507,4.265124321,3.8717103004,0.0,1.2078695297,2.4578187466,5
6,-0.0027353295591,3750.5473633,1981.1610107,2016.7004395,380.80047607,-0.35516533256,583.94891357,8.1201314926,7608.1650391,1622.1806641,1458.730957,250.05787659,1.9335551262,899.54272461,-0.31898930669,9797.6074219,3513.2336426,3531.4453125,236.86523438,0.30493840575,1913.4592285,49.661178589,0.76953125,0.062889546156,0.046875,0.00244140625,6.1924648285,0.071288719773,-0.15877699852,15.538034439,5.3826112747,5.4338436127,0.00081867742119,-0.029731670395,2.4298560619,5
7,-0.3901142478,4036.5717773,1692.4553223,1666.326416,375.32748413,0.36097508669,679.87982178,8.7934303284,7323.8867188,1308.5509033,980.57714844,134.41896057,2.4426791668,1030.4035645,0.055583965033,9388.4765625,2745.7976074,1754.9560547,161.49902344,0.95678478479,2122.541748,64.785041809,0.7529296875,0.042063672096,0.02685546875,0.0,7.1868152618,0.067493952811,-1.0560213327,18.039932251,6.6718759537,6.1314344406,0.0011617916171,0.17443792522,3.4865279198,3
8,-0.45868885517,3469.9382324,1865.3546143,1712.2901611,837.21685791,0.74060124159,554.18060303,0.80391335487,5509.1030273,1516.3255615,1207.0018311,431.28005981,1.3046754599,798.61883545,-0.41829508543,8397.9492188,3104.1953125,2271.7529297,516.796875,0.94389414787,1903.6832275,11.235294342,0.375,0.059091046453,0.04736328125,0.009765625,3.0650846958,0.045662607998,0.39271306992,9.4832925797,2.6096594334,2.257648468,0.00071640172973,0.7785153389,1.4259449244,4
9,12.310202599,3795.0229492,1328.4759521,1308.2099609,0.0,2.6352028847,400.01300049,25.700130463,5817.7514648,904.38989258,845.6036377,0.0,3.8705003262,477.83602905,13.723549843,9625.3417969,1834.625,1679.5898438,0.0,2.9357228279,1166.3209229,73.601127625,0.51220703125,0.034059491009,0.02978515625,0.0,5.6918320656,0.022779611871,0.38343477249,7.0170145035,2.3053600788,2.2542290688,0.0,0.28214734793,1.0320234299,1
10,1.1500421762,3299.2304688,932.80383301,899.84210205,250.96122742,0.69651454687,329.42901611,37.485588074,5585.1118164,509.10525513,459.58078003,141.56793213,3.775960207,245.68554688,22.233577728,9474.609375,800.28027344,624.46289062,139.96582031,3.7040286064,582.73687744,103.15962982,0.28466796875,0.018611766398,0.01708984375,0.00244140625,7.6593461037,0.011721034534,0.75520610809,18.012086868,4.7924823761,4.3975887299,6.971325638e-05,0.78202396631,2.5520761013,4
11,1.1748080254,3245.1689453,1496.3498535,1492.3254395,0.0,0.41583019495,301.42382812,3.1772835255,5512.5,1211.8123779,1133.6422119,0.0,1.0293115377,465.81072998,0.51651579142,9194.6777344,2525.817627,2433.2519531,0.0,0.49091604352,1063.2562256,4.0376238823,0.296875,0.047869943082,0.0390625,0.0,1.6088045835,0.034596949816,0.61754417419,15.924528122,3.9912769794,3.6975445747,0.0,0.7697005868,2.6958670616,3
12,-0.061839535832,3716.8208008,1124.5921631,836.71392822,0.0,0.9576934576,796.01312256,8.5989398956,5939.2138672,687.22937012,482.19137573,0.0,2.4082844257,623.46228027,6.1856298447,9366.9433594,1239.2302246,667.52929688,0.0,2.5111920834,1553.5313721,40.983810425,0.4482421875,0.025890015066,0.0205078125,0.0,3.6965620518,0.022742561996,0.25320243835,19.143268585,4.7926325798,2.8903450966,0.0,1.1307338476,4.2729716301,2
13,0.011527187191,3581.2790527,1489.7888184,1513.6472168,0.0,-0.10749711841,853.93499756,3.6517236233,6213.1635742,1393.4855957,1148.9742432,0.0,1.9193832874,1312.9139404,1.4487675428,9894.5068359,2842.1989746,2487.0849609,0.0,1.2538895607,2387.28125,1.3072770834,0.27099609375,0.05237262696,0.04638671875,0.0,1.074549675,0.043614879251,22.802783966,10.064749718,0.75425595045,0.79891335964,0.0,2.3848142624,0.69497942924,1
14,-0.65436387062,4615.5273438,1978.2861328,1919.0917969,846.96270752,0.37615931034,557.13623047,1.51303339,7842.121582,1396.774292,1253.2442627,261.03570557,1.0589439869,693.8260498,-0.06575974822,10379.003906,2978.7434082,2659.3505859,43.06640625,0.72076362371,1813.3121338,13.159285545,0.46630859375,0.044103309512,0.037109375,0.0,2.5267271996,0.033298674971,3.9837784767,11.942362785,1.9903638363,1.802103281,5.9249541664e-05,1.4961115122,1.1944617033,5
15,54.794589996,4150.5107422,513.56488037,447.83053589,303.24560547,6.4582562447,309.95425415,368.71414185,7608.9038086,428.2883606,405.50656128,217.59851074,17.25510788,258.65930176,214.39610291,9700.7080078,653.10253906,592.16308594,322.99804688,14.25839901,544.64813232,1027.5748291,0.759765625,0.034044966102,0.03271484375,0.0126953125,26.405094147,0.015184441581,-0.38969445229,8.1030435562,2.7057197094,2.6000685692,0.0011452513281,0.14531588554,1.362196207,6
