"('spectral_bandwidth', 'kurtosis', '01')","('spectral_bandwidth', 'max', '01')","('spectral_bandwidth', 'mean', '01')","('spectral_bandwidth', 'median', '01')","('spectral_bandwidth', 'min', '01')","('spectral_bandwidth', 'skew', '01')","('spectral_bandwidth', 'std', '01')","('spectral_centroid', 'kurtosis', '01')","('spectral_centroid', 'max', '01')","('spectral_centroid', 'mean', '01')","('spectral_centroid', 'median', '01')","('spectral_centroid', 'min', '01')","('spectral_centroid', 'skew', '01')","('spectral_centroid', 'std', '01')","('spectral_rolloff', 'kurtosis', '01')","('spectral_rolloff', 'max', '01')","('spectral_rolloff', 'mean', '01')","('spectral_rolloff', 'median', '01')","('spectral_rolloff', 'min', '01')","('spectral_rolloff', 'skew', '01')","('spectral_rolloff', 'std', '01')","('zcr', 'kurtosis', '01')","('zcr', 'max', '01')","('zcr', 'mean', '01')","('zcr', 'median', '01')","('zcr', 'min', '01')","('zcr', 'skew', '01')","('zcr', 'std', '01')","('rmse', 'kurtosis', '01')","('rmse', 'max', '01')","('rmse', 'mean', '01')","('rmse', 'median', '01')","('rmse', 'min', '01')","('rmse', 'skew', '01')","('rmse', 'std', '01')",genre_top
-0.32055351138,2938.0820312,1708.2403563999999,1696.293335,548.91827393,0.15595829486999999,407.49667358,14.692946434000001,6712.615722699999,1186.4803467,986.94702148,97.93996429399999,3.1624813080000003,857.38439941,0.9788815379100001,9194.6777344,2471.7819824000003,2400.9521484,32.299804688,0.8252605795899999,1751.9434813999999,37.146697998,0.685546875,0.036972802132,0.021484375,0.001953125,5.9117393494,0.078445449471,0.87837290764,6.2688474654999995,1.4760904312,1.2910039425,0.0006401962600599999,0.9695019722,1.1060539484,Electronic
-0.84570783377,3199.0532227,1216.0192871,1263.7894287000001,393.4319458,-0.21554093063000002,349.78604126,0.28597739339,5518.1601562,1103.3952637,1053.0056152,133.50682068,0.32800063491,426.39974976,-0.75439506769,9334.6435547,2235.9321289,2077.9541016,118.43261719,0.12220104039,960.50024414,1.2553858756999998,0.234375,0.056572329253,0.052734375,0.0029296875,0.77846878767,0.02768499963,0.9525890350299999,10.436672211,3.5335595607999997,3.4428634644,4.7665362217000004e-05,0.59377330542,1.3911805153,Rock
18.870754242,3334.0571289,668.04498291,641.54553223,364.51623535,2.5479421616,173.20550537,205.67216492,5461.837402300001,584.34088135,574.59185791,191.72064209,7.331845760299999,143.54412842,139.00332642,9356.1767578,917.3057251,882.86132812,236.86523438,6.7789568901,294.04507446,96.948944092,0.40625,0.037113655359,0.03759765625,0.00244140625,3.20835495,0.010622484609000001,0.85830259323,10.766113280999999,4.7374281883,4.9169416427999995,2.2502868887e-05,-0.54742103815,1.3627536297,Rock
2.9260001182999997,3964.6994629,1798.9951172000003,1641.6252441,914.33447266,1.7625010013999998,596.90533447,8.7680168152,5573.7138672,1304.7918700999999,1058.597168,393.46087646,2.8942775726,884.05847168,6.6583476067,9743.7744141,2591.125,2153.3203125,269.16503906,2.6218340397,1839.8470459000002,17.031547546,0.4736328125,0.045897692441999996,0.02880859375,0.00537109375,3.8720924854,0.058636389673,2.6382236481,7.3305711746,1.4250116348,1.1470142603,1.3201260117000001e-05,1.4789611101,1.0222266912,Folk
-0.5827224254600001,3757.7587891000003,1386.3458252,1108.5893555,0.0,0.8436083197600001,799.85980225,2.5669322014,5886.9765625,1085.8837890999998,761.12115479,0.0,1.6722984313999998,867.00146484,0.56411767006,9829.9072266,2181.6726074000003,1356.5917969,0.0,1.2777997255,1911.7436523,10.019029617000001,0.3896484375,0.040745224803999995,0.03125,0.0,2.4785649776,0.033577505499,4.0238385201,8.0084886551,4.3643870354,4.4627795219,0.0,-1.4230002165,1.0010746717,Experimental
3.0732028484,3825.0371094000006,1303.855835,1402.5095215,0.0,-1.2547963858,482.54162598,5.8317103386,5572.9604492,1139.4605712999999,1188.0310059,0.0,0.23969201744000002,528.01104736,3.5166573524,9549.9755859,2317.4819336,2476.3183594,0.0,0.041594624519,1102.1156005999999,1.5963680744,0.263671875,0.049102865159999995,0.04833984375,0.0,0.7162696123100001,0.032636929303,0.52707481384,16.814207077,9.3637199402,10.332321167,0.0,-1.0923154354,3.9608845711000003,Rock
1.7816377878,3456.2863770000004,1347.0203857000001,1293.9641113,0.0,1.0976234674,247.93798828,4.9359192848,5526.5576172,1472.815918,1436.9621582,0.0,0.9703971147499999,336.11120605,5.122071743,9431.542968799999,2606.1303711,2465.5517578000004,0.0,1.6197968721,647.53723145,1.5275274515000001,0.2177734375,0.08902169764000001,0.089599609375,0.0,0.34287592769,0.022670317441,-0.53113865852,5.7842578888,2.8993964195,3.0122566223000002,0.0,-0.39437934756,1.0394452809999999,International
-0.33313289285000003,3586.5541992,1375.1547852,1177.3841553,0.0,0.73878109455,661.82067871,4.3019556999,5461.8696289,910.45422363,652.22424316,0.0,2.0314939022,673.3815918,0.94176089764,9420.7763672,1782.7823485999998,818.26171875,0.0,1.5899450779,1954.3432616999999,18.759300232,0.36767578125,0.038788340986,0.0302734375,0.0,3.5656402111000003,0.028991665691,3.4261755943,21.485557556,3.505920887,2.847124815,0.0,1.5739371777000002,2.2807433605000003,Blues
4.1597867012,3234.7175293,782.59741211,648.32336426,314.96792603,1.9608438015,410.15762329,26.216529846,5135.9223633,520.87561035,451.45895386,228.35040283,4.3715977669,315.01034546,24.863430023000003,9054.7119141,780.96337891,667.52929688,279.93164062,4.8350734711,771.80438232,3.1022427082,0.19677734375,0.028067532927,0.0224609375,0.0078125,1.3212168217,0.014416849241,0.17905306816,12.751925468,2.8790299892,2.3857638836,0.077077262104,0.869315207,2.2651031017,Classical
2.5616531372,3242.8845215,816.73803711,774.43835449,381.62033081,1.2422751187999999,308.68692017,20.24373436,5787.9267578,602.56494141,511.61764526,196.39743042,3.7502627373000004,390.75961304,10.177762032,9722.2412109,1089.2574462999999,904.39453125,183.03222656,2.7168257236,784.68963623,27.931465149,0.32763671875,0.030293710529999997,0.0244140625,0.0009765625,4.7119469643,0.029083482921000003,1.1075668335,10.13650322,2.0454854965,1.9062772988999999,0.00010432234558,0.83952116966,1.3231307268,Blues
